symbol,company,weight,sector,shares_held
AAPL,Apple Inc.,0.03343281357507033,Technology,33190
MSFT,Microsoft Corporation,0.023782319038711988,Technology,47758
FB,Facebook Inc. Class A,0.016568997913421753,Technology,14871
AMZN,Amazon.com Inc.,0.016306542487260267,Consumer Discretionary,2523
JNJ,Johnson & Johnson,0.015164944042639553,Health Care,17164
BRK.B,Berkshire Hathaway Inc. Class B,0.014795302201166918,Financial Services,12299
XOM,Exxon Mobil Corporation,0.014367378122092402,Energy,26993
JPM,JPMorgan Chase & Co.,0.014013556747041182,Financial Services,22609
GOOGL,Alphabet Inc. Class A,0.012376874890589301,Technology,1906
GOOG,Alphabet Inc. Class C,0.012348911038922316,Technology,1936
BAC,Bank of America Corporation,0.010292601079454771,Financial Services,62632
WFC,Wells Fargo & Company,0.010185544914975465,Financial Services,28571
PG,Procter & Gamble Company,0.009698336668823353,Consumer Staples,16299
CVX,Chevron Corporation,0.00930474871288132,Energy,12095
T,AT&T Inc.,0.009069485652690525,Utilities,39168
PFE,Pfizer Inc.,0.008850493927185217,Health Care,37707
GE,General Electric Company,0.00823621096562917,Producer Durables,55337
V,Visa Inc. Class A,0.008227604391432846,Financial Services,11786
HD,Home Depot Inc.,0.008152609970176167,Consumer Discretionary,7671
VZ,Verizon Communications Inc.,0.008119476162414532,Utilities,26007
C,Citigroup Inc,0.008090440246208539,Financial Services,17313
UNH,UnitedHealth Group Incorporated,0.007638720342085976,Health Care,6132
INTC,Intel Corporation,0.007614954574922202,Technology,30092
PM,Philip Morris International Inc.,0.007307372245174869,Consumer Staples,9881
KO,Coca-Cola Company,0.007285379893183096,Consumer Staples,24469
MRK,Merck & Co. Inc.,0.0072057966349276794,Health Care,17483
CMCSA,Comcast Corporation Class A,0.006963570164880721,Consumer Discretionary,29998
DWDP,DowDuPont Inc.,0.006906850937260941,Materials & Processing,14981
CSCO,Cisco Systems Inc.,0.00684670511083424,Technology,31880
PEP,PepsiCo Inc.,0.006617012778528379,Consumer Staples,9113
DIS,Walt Disney Company,0.0062413894180857726,Consumer Discretionary,9972
BA,Boeing Company,0.0059732931289760574,Producer Durables,3532
ABBV,AbbVie Inc.,0.005969245333894201,Health Care,10112
ORCL,Oracle Corporation,0.005737138351551885,Technology,18422
MA,Mastercard Incorporated Class A,0.005659548932953123,Financial Services,5973
AMGN,Amgen Inc.,0.005572471242219416,Health Care,4722
MCD,McDonald's Corporation,0.005504700732482585,Consumer Discretionary,5201
IBM,International Business Machines Corporation,0.005226414820604928,Technology,5505
MO,Altria Group Inc.,0.0051890228125715376,Consumer Staples,12297
MMM,3M Company,0.005163413495172463,Producer Durables,3675
WMT,Wal-Mart Stores Inc.,0.005143194558352694,Consumer Discretionary,9251
NVDA,NVIDIA Corporation,0.004509714628042098,Technology,3656
HON,Honeywell International Inc.,0.00449910419489436,Producer Durables,4866
BMY,Bristol-Myers Squibb Company,0.004465759981942826,Health Care,10583
CELG,Celgene Corporation,0.004393771349113268,Health Care,4913
MDT,Medtronic plc,0.004383872285893282,Health Care,8713
GILD,Gilead Sciences Inc.,0.0043057718832619106,Health Care,8202
AVGO,Broadcom Limited,0.004118170608230506,Technology,2564
SLB,Schlumberger NV,0.0038870555360691404,Energy,8946
PCLN,Priceline Group Inc,0.0038783688075147596,Consumer Discretionary,313
ABT,Abbott Laboratories,0.0038457059066067073,Health Care,10886
TXN,Texas Instruments Incorporated,0.003828192179371346,Technology,6401
UNP,Union Pacific Corporation,0.0038012402764748244,Producer Durables,5178
UTX,United Technologies Corporation,0.0036789147067857395,Producer Durables,4795
GS,Goldman Sachs Group Inc.,0.003657383242352794,Financial Services,2362
ACN,Accenture Plc Class A,0.0035153497198765495,Producer Durables,3911
LLY,Eli Lilly and Company,0.0034992386939071787,Health Care,6270
USB,U.S. Bancorp,0.0034872656366724784,Financial Services,10003
UPS,United Parcel Service Inc. Class B,0.003418002252016844,Producer Durables,4427
LMT,Lockheed Martin Corporation,0.003340753489439824,Producer Durables,1611
NFLX,Netflix Inc.,0.0032806277016026388,Consumer Discretionary,2594
TWX,Time Warner Inc.,0.0032649074281287933,Consumer Discretionary,4984
PYPL,PayPal Holdings Inc,0.0032432056356849768,Financial Services,7294
SBUX,Starbucks Corporation,0.00323676322915618,Consumer Discretionary,8956
TMO,Thermo Fisher Scientific Inc.,0.003225521580438746,Health Care,2583
QCOM,QUALCOMM Incorporated,0.0032036093828050304,Technology,9361
ADBE,Adobe Systems Incorporated,0.003162119483215998,Technology,3188
CVS,CVS Health Corporation,0.003049011664703419,Consumer Staples,6400
CAT,Caterpillar Inc.,0.003024233948769182,Producer Durables,3603
BIIB,Biogen Inc.,0.0029399516412726974,Health Care,1366
NEE,NextEra Energy Inc.,0.0028881418680838816,Utilities,2968
LOW,Lowe's Companies Inc.,0.002840550217987792,Consumer Discretionary,5393
AGN,Allergan plc,0.0028371737156546594,Health Care,2153
COST,Costco Wholesale Corporation,0.002821222998401402,Consumer Discretionary,2779
CB,Chubb Limited,0.002768481430800178,Financial Services,2925
NKE,NIKE Inc. Class B,0.002768180851957466,Consumer Discretionary,8434
AXP,American Express Company,0.0027465191366926774,Financial Services,4643
PNC,PNC Financial Services Group Inc.,0.0027050993721669443,Financial Services,3097
CHTR,Charter Communications Inc. Class A,0.0027034161306477562,Consumer Discretionary,1177
CL,Colgate-Palmolive Company,0.0026779971798490663,Consumer Staples,5518
CRM,salesforce.com inc.,0.00267668465223589,Technology,4285
WBA,Walgreens Boots Alliance Inc,0.0026460857260477938,Consumer Staples,5939
MS,Morgan Stanley,0.002611048252282315,Financial Services,8322
COP,ConocoPhillips,0.0025325170199763897,Energy,7874
MDLZ,Mondelez International Inc. Class A,0.002525062664677129,Consumer Staples,9353
DUK,Duke Energy Corporation,0.002500705759122688,Utilities,4453
AMT,American Tower Corporation,0.002465738420420509,Financial Services,2727
BLK,BlackRock Inc.,0.002442253193509934,Financial Services,787
GM,General Motors Company,0.002413678164862766,Consumer Discretionary,8327
AIG,American International Group Inc.,0.002367228714368983,Financial Services,5861
AMAT,Applied Materials Inc.,0.002365555492144552,Technology,6872
FDX,FedEx Corporation,0.0023077541806910077,Producer Durables,1588
GD,General Dynamics Corporation,0.002297734885933936,Producer Durables,1665
RTN,Raytheon Company,0.0022798404254978067,Producer Durables,1869
EOG,EOG Resources Inc.,0.0022691698765815254,Energy,3636
BK,Bank of New York Mellon Corporation,0.002229303102743139,Financial Services,6307
SCHW,Charles Schwab Corporation,0.0022016799070978927,Financial Services,7572
DHR,Danaher Corporation,0.0021815511439309365,Health Care,3882
MON,Monsanto Company,0.0021811403528458964,Materials & Processing,2817
ADP,Automatic Data Processing Inc.,0.002116786422621227,Producer Durables,2886
SPG,Simon Property Group Inc.,0.0020972988943187233,Financial Services,1974
ANTM,Anthem Inc.,0.0020766791857086703,Health Care,1695
SYK,Stryker Corporation,0.0020734730113864076,Health Care,2191
