symbol,company,weight,sector,shares_held
AAPL,Apple Inc.,0.030920829198437746,Technology,103234
MSFT,Microsoft Corporation,0.021969333801831963,Technology,148370
FB,Facebook Inc. Class A,0.015290730791558764,Technology,46154
AMZN,Amazon.com Inc.,0.015118780119766055,Consumer Discretionary,7867
JNJ,Johnson & Johnson,0.014015850415533748,Health Care,53350
BRK.B,Berkshire Hathaway Inc. Class B,0.013638668296762645,Financial Services,38129
XOM,Exxon Mobil Corporation,0.013289170005451609,Energy,83967
JPM,JPMorgan Chase & Co.,0.012883250870132286,Financial Services,69903
GOOGL,Alphabet Inc. Class A,0.011372757049528684,Technology,5890
GOOG,Alphabet Inc. Class C,0.01131348757979625,Technology,5965
BAC,Bank of America Corporation,0.009588293640793132,Financial Services,196223
WFC,Wells Fargo & Company,0.009374235466218774,Financial Services,88433
PG,Procter & Gamble Company,0.00896623001346768,Consumer Staples,50677
CVX,Chevron Corporation,0.008511332570363036,Energy,37208
T,AT&T Inc.,0.008362993394889528,Utilities,121464
PFE,Pfizer Inc.,0.008129145295830132,Health Care,116476
GE,General Electric Company,0.007611939180195809,Producer Durables,171997
C,Citigroup Inc,0.007582289399771188,Financial Services,54568
V,Visa Inc. Class A,0.007554394934493495,Financial Services,36394
VZ,Verizon Communications Inc.,0.0075110837870396695,Utilities,80910
HD,Home Depot Inc.,0.007480380817526896,Consumer Discretionary,23671
INTC,Intel Corporation,0.007046868128097924,Technology,93652
UNH,UnitedHealth Group Incorporated,0.006984790154130411,Health Care,18857
PM,Philip Morris International Inc.,0.006753098585108666,Consumer Staples,30710
KO,Coca-Cola Company,0.006699817247620312,Consumer Staples,75677
MRK,Merck & Co. Inc.,0.006613766683931947,Health Care,53966
CMCSA,Comcast Corporation Class A,0.006406850134412505,Consumer Discretionary,92820
CSCO,Cisco Systems Inc.,0.006371011614298444,Technology,99766
DWDP,DowDuPont Inc.,0.00630581419455554,Materials & Processing,45998
PEP,PepsiCo Inc.,0.006066940878989807,Consumer Staples,28100
DIS,Walt Disney Company,0.005738225519018352,Consumer Discretionary,30833
BA,Boeing Company,0.005557217421067515,Producer Durables,11051
ABBV,AbbVie Inc.,0.005545792827054104,Health Care,31595
ORCL,Oracle Corporation,0.005242203549614338,Technology,56610
MA,Mastercard Incorporated Class A,0.005223787786130035,Financial Services,18541
